puzzle_type,puzzle_idx,total_clues,original_status,original_extraction_accuracy,num_misclassified_original,correction_attempted,correction_found,attempts_to_solve,error_row,error_col,original_value,corrected_value,original_confidence,second_best_confidence,time_first_solve_attempt,time_per_correction_attempt,time_total_all_attempts,final_status,final_matches_ground_truth,ground_truth_error_positions
sudoku_4x4,0,4,solved,1.0,0,False,False,0,,,,,,,0.04701375961303711,0,0.04701375961303711,solved,True,[]
sudoku_4x4,1,5,solved,1.0,0,False,False,0,,,,,,,0.004796028137207031,0,0.004796028137207031,solved,True,[]
sudoku_4x4,2,4,solved,1.0,0,False,False,0,,,,,,,0.004726886749267578,0,0.004726886749267578,solved,True,[]
sudoku_4x4,3,4,solved,1.0,0,False,False,0,,,,,,,0.00480198860168457,0,0.00480198860168457,solved,True,[]
sudoku_4x4,4,5,solved,1.0,0,False,False,0,,,,,,,0.004545688629150391,0,0.004545688629150391,solved,True,[]
sudoku_4x4,5,3,solved,0.9375,1,False,False,0,,,,,,,0.0049207210540771484,0,0.0049207210540771484,solved,True,"[(0, 2)]"
sudoku_4x4,6,4,solved,1.0,0,False,False,0,,,,,,,0.004620790481567383,0,0.004620790481567383,solved,True,[]
sudoku_4x4,7,4,solved,1.0,0,False,False,0,,,,,,,0.004457950592041016,0,0.004457950592041016,solved,True,[]
sudoku_4x4,8,4,solved,1.0,0,False,False,0,,,,,,,0.004842042922973633,0,0.004842042922973633,solved,True,[]
sudoku_4x4,9,5,solved,1.0,0,False,False,0,,,,,,,0.004567623138427734,0,0.004567623138427734,solved,True,[]
sudoku_4x4,10,4,solved,1.0,0,False,False,0,,,,,,,0.00452113151550293,0,0.00452113151550293,solved,True,[]
sudoku_4x4,11,4,solved,1.0,0,False,False,0,,,,,,,0.0046999454498291016,0,0.0046999454498291016,solved,True,[]
sudoku_4x4,12,4,solved,1.0,0,False,False,0,,,,,,,0.004698991775512695,0,0.004698991775512695,solved,True,[]
sudoku_4x4,13,4,solved,1.0,0,False,False,0,,,,,,,0.004888057708740234,0,0.004888057708740234,solved,True,[]
sudoku_4x4,14,4,solved,1.0,0,False,False,0,,,,,,,0.0046079158782958984,0,0.0046079158782958984,solved,True,[]
sudoku_4x4,15,4,solved,1.0,0,False,False,0,,,,,,,0.004551887512207031,0,0.004551887512207031,solved,True,[]
sudoku_4x4,16,4,solved,1.0,0,False,False,0,,,,,,,0.004534006118774414,0,0.004534006118774414,solved,True,[]
sudoku_4x4,17,4,solved,1.0,0,False,False,0,,,,,,,0.004640102386474609,0,0.004640102386474609,solved,True,[]
sudoku_4x4,18,4,solved,1.0,0,False,False,0,,,,,,,0.004578113555908203,0,0.004578113555908203,solved,True,[]
sudoku_4x4,19,4,solved,1.0,0,False,False,0,,,,,,,0.00487208366394043,0,0.00487208366394043,solved,True,[]
sudoku_4x4,20,4,solved,1.0,0,False,False,0,,,,,,,0.004575014114379883,0,0.004575014114379883,solved,True,[]
sudoku_4x4,21,4,solved,1.0,0,False,False,0,,,,,,,0.004523038864135742,0,0.004523038864135742,solved,True,[]
sudoku_4x4,22,5,solved,1.0,0,False,False,0,,,,,,,0.004853010177612305,0,0.004853010177612305,solved,True,[]
sudoku_4x4,23,4,solved,1.0,0,False,False,0,,,,,,,0.004578113555908203,0,0.004578113555908203,solved,True,[]
