puzzle_type,puzzle_idx,num_errors,final_status,failure_category,max_true_rank
sudoku_4x4,0,0,none,no_errors,0
sudoku_4x4,1,0,none,no_errors,0
sudoku_4x4,2,0,none,no_errors,0
sudoku_4x4,3,0,none,no_errors,0
sudoku_4x4,4,0,none,no_errors,0
sudoku_4x4,5,1,none,detection_issue,-1
sudoku_4x4,6,0,none,no_errors,0
sudoku_4x4,7,0,none,no_errors,0
sudoku_4x4,8,0,none,no_errors,0
sudoku_4x4,9,0,none,no_errors,0
sudoku_4x4,10,0,none,no_errors,0
sudoku_4x4,11,0,none,no_errors,0
sudoku_4x4,12,0,none,no_errors,0
sudoku_4x4,13,0,none,no_errors,0
sudoku_4x4,14,0,none,no_errors,0
sudoku_4x4,15,0,none,no_errors,0
sudoku_4x4,16,0,none,no_errors,0
sudoku_4x4,17,0,none,no_errors,0
sudoku_4x4,18,0,none,no_errors,0
sudoku_4x4,19,0,none,no_errors,0
sudoku_4x4,20,0,none,no_errors,0
sudoku_4x4,21,0,none,no_errors,0
sudoku_4x4,22,0,none,no_errors,0
sudoku_4x4,23,0,none,no_errors,0
sudoku_4x4,24,1,single,all_rank_1-4,4
sudoku_4x4,25,0,none,no_errors,0
sudoku_4x4,26,0,none,no_errors,0
sudoku_4x4,27,0,none,no_errors,0
sudoku_4x4,28,0,none,no_errors,0
sudoku_4x4,29,2,two,all_rank_1-4,2
sudoku_4x4,30,0,none,no_errors,0
sudoku_4x4,31,0,none,no_errors,0
sudoku_4x4,32,0,none,no_errors,0
sudoku_4x4,33,0,none,no_errors,0
sudoku_4x4,34,0,none,no_errors,0
sudoku_4x4,35,0,none,no_errors,0
sudoku_4x4,36,0,none,no_errors,0
sudoku_4x4,37,0,none,no_errors,0
sudoku_4x4,38,0,none,no_errors,0
sudoku_4x4,39,0,none,no_errors,0
sudoku_4x4,40,0,none,no_errors,0
sudoku_4x4,41,1,none,detection_issue,-1
sudoku_4x4,42,0,none,no_errors,0
sudoku_4x4,43,0,none,no_errors,0
sudoku_4x4,44,0,none,no_errors,0
sudoku_4x4,45,0,none,no_errors,0
sudoku_4x4,46,0,none,no_errors,0
sudoku_4x4,47,1,single,all_rank_1-4,2
sudoku_4x4,48,0,none,no_errors,0
sudoku_4x4,49,0,none,no_errors,0
sudoku_4x4,50,0,none,no_errors,0
sudoku_4x4,51,0,none,no_errors,0
sudoku_4x4,52,0,none,no_errors,0
sudoku_4x4,53,0,none,no_errors,0
sudoku_4x4,54,0,none,no_errors,0
sudoku_4x4,55,0,none,no_errors,0
sudoku_4x4,56,0,none,no_errors,0
sudoku_4x4,57,0,none,no_errors,0
sudoku_4x4,58,0,none,no_errors,0
sudoku_4x4,59,0,none,no_errors,0
sudoku_4x4,60,0,none,no_errors,0
sudoku_4x4,61,0,none,no_errors,0
sudoku_4x4,62,0,none,no_errors,0
sudoku_4x4,63,1,single,all_rank_1-4,2
sudoku_4x4,64,0,none,no_errors,0
sudoku_4x4,65,0,none,no_errors,0
sudoku_4x4,66,0,none,no_errors,0
sudoku_4x4,67,0,none,no_errors,0
sudoku_4x4,68,0,none,no_errors,0
sudoku_4x4,69,0,none,no_errors,0
sudoku_4x4,70,0,none,no_errors,0
sudoku_4x4,71,0,none,no_errors,0
sudoku_4x4,72,0,none,no_errors,0
sudoku_4x4,73,0,none,no_errors,0
sudoku_4x4,74,1,single,all_rank_1-4,2
sudoku_4x4,75,0,none,no_errors,0
sudoku_4x4,76,0,none,no_errors,0
sudoku_4x4,77,1,single,all_rank_1-4,2
sudoku_4x4,78,1,single,all_rank_1-4,2
sudoku_4x4,79,0,none,no_errors,0
sudoku_4x4,80,0,none,no_errors,0
sudoku_4x4,81,0,none,no_errors,0
sudoku_4x4,82,0,none,no_errors,0
sudoku_4x4,83,0,none,no_errors,0
sudoku_4x4,84,0,none,no_errors,0
sudoku_4x4,85,0,none,no_errors,0
sudoku_4x4,86,0,none,no_errors,0
sudoku_4x4,87,0,none,no_errors,0
sudoku_4x4,88,1,single,all_rank_1-4,2
sudoku_4x4,89,0,none,no_errors,0
sudoku_4x4,90,0,none,no_errors,0
sudoku_4x4,91,0,none,no_errors,0
sudoku_4x4,92,0,none,no_errors,0
sudoku_4x4,93,0,none,no_errors,0
sudoku_4x4,94,0,none,no_errors,0
sudoku_4x4,95,0,none,no_errors,0
sudoku_4x4,96,0,none,no_errors,0
sudoku_4x4,97,0,none,no_errors,0
sudoku_4x4,98,0,none,no_errors,0
sudoku_4x4,99,0,none,no_errors,0
sudoku_9x9,0,0,none,no_errors,0
sudoku_9x9,1,1,single,all_rank_1-4,2
sudoku_9x9,2,1,single,all_rank_1-4,3
sudoku_9x9,3,0,none,no_errors,0
sudoku_9x9,4,2,two,all_rank_1-4,2
sudoku_9x9,5,0,none,no_errors,0
sudoku_9x9,6,0,none,no_errors,0
sudoku_9x9,7,1,none,all_rank_1-4,2
sudoku_9x9,8,0,none,no_errors,0
sudoku_9x9,9,0,none,no_errors,0
sudoku_9x9,10,0,none,no_errors,0
sudoku_9x9,11,0,none,no_errors,0
sudoku_9x9,12,1,none,all_rank_1-4,2
sudoku_9x9,13,1,none,all_rank_1-4,2
sudoku_9x9,14,0,none,no_errors,0
sudoku_9x9,15,0,none,no_errors,0
sudoku_9x9,16,0,none,no_errors,0
sudoku_9x9,17,0,none,no_errors,0
sudoku_9x9,18,0,none,no_errors,0
sudoku_9x9,19,0,none,no_errors,0
sudoku_9x9,20,1,single,all_rank_1-4,2
sudoku_9x9,21,0,none,no_errors,0
sudoku_9x9,22,0,none,no_errors,0
sudoku_9x9,23,1,single,all_rank_1-4,2
sudoku_9x9,24,0,none,no_errors,0
sudoku_9x9,25,0,none,no_errors,0
sudoku_9x9,26,0,none,no_errors,0
sudoku_9x9,27,0,none,no_errors,0
sudoku_9x9,28,0,none,no_errors,0
sudoku_9x9,29,0,none,no_errors,0
sudoku_9x9,30,2,two,all_rank_1-4,2
sudoku_9x9,31,0,none,no_errors,0
sudoku_9x9,32,0,none,no_errors,0
sudoku_9x9,33,0,none,no_errors,0
sudoku_9x9,34,0,none,no_errors,0
sudoku_9x9,35,0,none,no_errors,0
sudoku_9x9,36,0,none,no_errors,0
sudoku_9x9,37,0,none,no_errors,0
sudoku_9x9,38,0,none,no_errors,0
sudoku_9x9,39,0,none,no_errors,0
sudoku_9x9,40,0,none,no_errors,0
sudoku_9x9,41,1,none,all_rank_1-4,2
sudoku_9x9,42,0,none,no_errors,0
sudoku_9x9,43,1,none,all_rank_1-4,2
sudoku_9x9,44,1,none,all_rank_1-4,2
sudoku_9x9,45,0,none,no_errors,0
sudoku_9x9,46,0,none,no_errors,0
sudoku_9x9,47,0,none,no_errors,0
sudoku_9x9,48,1,single,all_rank_1-4,2
sudoku_9x9,49,0,none,no_errors,0
sudoku_9x9,50,0,none,no_errors,0
sudoku_9x9,51,0,none,no_errors,0
sudoku_9x9,52,0,none,no_errors,0
sudoku_9x9,53,0,none,no_errors,0
sudoku_9x9,54,0,none,no_errors,0
sudoku_9x9,55,1,single,all_rank_1-4,2
sudoku_9x9,56,0,none,no_errors,0
sudoku_9x9,57,0,none,no_errors,0
sudoku_9x9,58,0,none,no_errors,0
sudoku_9x9,59,0,none,no_errors,0
sudoku_9x9,60,0,none,no_errors,0
sudoku_9x9,61,1,single,all_rank_1-4,2
sudoku_9x9,62,0,none,no_errors,0
sudoku_9x9,63,0,none,no_errors,0
sudoku_9x9,64,0,none,no_errors,0
sudoku_9x9,65,0,none,no_errors,0
sudoku_9x9,66,0,none,no_errors,0
sudoku_9x9,67,0,none,no_errors,0
sudoku_9x9,68,0,none,no_errors,0
sudoku_9x9,69,1,none,all_rank_1-4,2
sudoku_9x9,70,1,none,all_rank_1-4,2
sudoku_9x9,71,0,none,no_errors,0
sudoku_9x9,72,2,three,all_rank_1-4,2
sudoku_9x9,73,2,single,all_rank_1-4,2
sudoku_9x9,74,0,none,no_errors,0
sudoku_9x9,75,0,none,no_errors,0
sudoku_9x9,76,1,single,all_rank_1-4,2
sudoku_9x9,77,0,none,no_errors,0
sudoku_9x9,78,0,none,no_errors,0
sudoku_9x9,79,0,none,no_errors,0
sudoku_9x9,80,0,none,no_errors,0
sudoku_9x9,81,0,none,no_errors,0
sudoku_9x9,82,0,none,no_errors,0
sudoku_9x9,83,0,none,no_errors,0
sudoku_9x9,84,0,none,no_errors,0
sudoku_9x9,85,1,single,all_rank_1-4,2
sudoku_9x9,86,0,none,no_errors,0
sudoku_9x9,87,0,none,no_errors,0
sudoku_9x9,88,0,none,no_errors,0
sudoku_9x9,89,1,single,all_rank_1-4,2
sudoku_9x9,90,0,none,no_errors,0
sudoku_9x9,91,0,none,no_errors,0
sudoku_9x9,92,0,none,no_errors,0
sudoku_9x9,93,0,none,no_errors,0
sudoku_9x9,94,1,single,all_rank_1-4,2
sudoku_9x9,95,0,none,no_errors,0
sudoku_9x9,96,1,none,all_rank_1-4,2
sudoku_9x9,97,0,none,no_errors,0
sudoku_9x9,98,0,none,no_errors,0
sudoku_9x9,99,1,none,all_rank_1-4,2
hexasudoku_16x16,0,5,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,1,3,uncorrectable,all_rank_1-4,3
hexasudoku_16x16,2,1,single,all_rank_1-4,2
hexasudoku_16x16,3,4,uncorrectable,some_rank_5-10,8
hexasudoku_16x16,4,2,two,all_rank_1-4,2
