puzzle_type,puzzle_idx,total_clues,original_status,original_extraction_accuracy,num_misclassified_original,single_correction_attempted,single_correction_found,single_attempts,error_row,error_col,original_value,corrected_value,original_confidence,second_best_confidence,two_error_correction_attempted,two_error_correction_found,two_error_attempts,error2_row,error2_col,original_value2,corrected_value2,original_confidence2,second_best_confidence2,time_first_solve_attempt,time_per_correction_attempt,time_total_all_attempts,final_status,final_matches_ground_truth,correction_type,ground_truth_error_positions
sudoku_4x4,0,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.054895877838134766,0,0.054895877838134766,solved,True,none,[]
sudoku_4x4,1,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.005189180374145508,0,0.005189180374145508,solved,True,none,[]
sudoku_4x4,2,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004773139953613281,0,0.004773139953613281,solved,True,none,[]
sudoku_4x4,3,3,wrong_solution,0.9375,1,True,True,2,2,2,2,3,0.9999988079071045,1.1371014352334896e-06,False,False,0,,,,,,,0.0048749446868896484,0.004044532775878906,0.012964010238647461,wrong_correction,False,single,"[(3, 0)]"
sudoku_4x4,4,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0046977996826171875,0,0.0046977996826171875,solved,True,none,[]
sudoku_4x4,5,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0047190189361572266,0,0.0047190189361572266,solved,True,none,[]
sudoku_4x4,6,4,unsat,0.9375,1,True,True,1,2,1,7,1,0.999626636505127,0.0002554006641730666,False,False,0,,,,,,,0.003074169158935547,0.005136728286743164,0.008210897445678711,corrected_single,True,single,"[(2, 1)]"
sudoku_4x4,7,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004867076873779297,0,0.004867076873779297,solved,True,none,[]
sudoku_4x4,8,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0051000118255615234,0,0.0051000118255615234,solved,True,none,[]
sudoku_4x4,9,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004712820053100586,0,0.004712820053100586,solved,True,none,[]
sudoku_4x4,10,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004932880401611328,0,0.004932880401611328,solved,True,none,[]
sudoku_4x4,11,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004853010177612305,0,0.004853010177612305,solved,True,none,[]
sudoku_4x4,12,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0048940181732177734,0,0.0048940181732177734,solved,True,none,[]
sudoku_4x4,13,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004853725433349609,0,0.004853725433349609,solved,True,none,[]
sudoku_4x4,14,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004963874816894531,0,0.004963874816894531,solved,True,none,[]
sudoku_4x4,15,4,unsat,0.9375,1,True,True,1,0,1,9,4,0.9971103072166443,0.0020552370697259903,False,False,0,,,,,,,0.0029120445251464844,0.0048182010650634766,0.007730245590209961,corrected_single,True,single,"[(0, 1)]"
sudoku_4x4,16,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004804849624633789,0,0.004804849624633789,solved,True,none,[]
sudoku_4x4,17,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004955291748046875,0,0.004955291748046875,solved,True,none,[]
sudoku_4x4,18,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004688739776611328,0,0.004688739776611328,solved,True,none,[]
sudoku_4x4,19,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004653215408325195,0,0.004653215408325195,solved,True,none,[]
sudoku_4x4,20,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004694938659667969,0,0.004694938659667969,solved,True,none,[]
sudoku_4x4,21,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004675149917602539,0,0.004675149917602539,solved,True,none,[]
sudoku_4x4,22,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0045621395111083984,0,0.0045621395111083984,solved,True,none,[]
sudoku_4x4,23,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004717111587524414,0,0.004717111587524414,solved,True,none,[]
sudoku_4x4,24,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004534006118774414,0,0.004534006118774414,solved,True,none,[]
sudoku_4x4,25,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004529237747192383,0,0.004529237747192383,solved,True,none,[]
sudoku_4x4,26,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00494837760925293,0,0.00494837760925293,solved,True,none,[]
sudoku_4x4,27,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0045659542083740234,0,0.0045659542083740234,solved,True,none,[]
sudoku_4x4,28,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004663944244384766,0,0.004663944244384766,solved,True,none,[]
sudoku_4x4,29,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004858970642089844,0,0.004858970642089844,solved,True,none,[]
sudoku_4x4,30,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004571199417114258,0,0.004571199417114258,solved,True,none,[]
sudoku_4x4,31,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004615068435668945,0,0.004615068435668945,solved,True,none,[]
sudoku_4x4,32,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004685878753662109,0,0.004685878753662109,solved,True,none,[]
sudoku_4x4,33,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004590034484863281,0,0.004590034484863281,solved,True,none,[]
sudoku_4x4,34,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004518985748291016,0,0.004518985748291016,solved,True,none,[]
sudoku_4x4,35,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004760265350341797,0,0.004760265350341797,solved,True,none,[]
sudoku_4x4,36,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0047168731689453125,0,0.0047168731689453125,solved,True,none,[]
sudoku_4x4,37,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004714012145996094,0,0.004714012145996094,solved,True,none,[]
sudoku_4x4,38,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00500798225402832,0,0.00500798225402832,solved,True,none,[]
sudoku_4x4,39,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004567146301269531,0,0.004567146301269531,solved,True,none,[]
sudoku_4x4,40,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004758119583129883,0,0.004758119583129883,solved,True,none,[]
sudoku_4x4,41,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004622697830200195,0,0.004622697830200195,solved,True,none,[]
sudoku_4x4,42,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00532984733581543,0,0.00532984733581543,solved,True,none,[]
sudoku_4x4,43,4,unsat,0.9375,1,True,True,1,0,3,9,4,0.9100398421287537,0.052417438477277756,False,False,0,,,,,,,0.002895832061767578,0.004817008972167969,0.007712841033935547,corrected_single,True,single,"[(0, 3)]"
sudoku_4x4,44,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00467681884765625,0,0.00467681884765625,solved,True,none,[]
sudoku_4x4,45,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00475311279296875,0,0.00475311279296875,solved,True,none,[]
sudoku_4x4,46,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004766225814819336,0,0.004766225814819336,solved,True,none,[]
sudoku_4x4,47,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004775047302246094,0,0.004775047302246094,solved,True,none,[]
sudoku_4x4,48,4,wrong_solution,0.9375,1,True,True,1,0,3,2,3,0.9999605417251587,3.933005064027384e-05,False,False,0,,,,,,,0.004637002944946289,0.00473785400390625,0.009374856948852539,wrong_correction,False,single,"[(2, 3)]"
sudoku_4x4,49,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004687070846557617,0,0.004687070846557617,solved,True,none,[]
sudoku_4x4,50,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004834175109863281,0,0.004834175109863281,solved,True,none,[]
sudoku_4x4,51,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0046389102935791016,0,0.0046389102935791016,solved,True,none,[]
sudoku_4x4,52,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004652976989746094,0,0.004652976989746094,solved,True,none,[]
sudoku_4x4,53,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004762887954711914,0,0.004762887954711914,solved,True,none,[]
sudoku_4x4,54,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0046613216400146484,0,0.0046613216400146484,solved,True,none,[]
sudoku_4x4,55,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004579067230224609,0,0.004579067230224609,solved,True,none,[]
sudoku_4x4,56,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.005062103271484375,0,0.005062103271484375,solved,True,none,[]
sudoku_4x4,57,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004670858383178711,0,0.004670858383178711,solved,True,none,[]
sudoku_4x4,58,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00450897216796875,0,0.00450897216796875,solved,True,none,[]
sudoku_4x4,59,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004989147186279297,0,0.004989147186279297,solved,True,none,[]
sudoku_4x4,60,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.00479888916015625,0,0.00479888916015625,solved,True,none,[]
sudoku_4x4,61,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004639148712158203,0,0.004639148712158203,solved,True,none,[]
sudoku_4x4,62,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.005018949508666992,0,0.005018949508666992,solved,True,none,[]
sudoku_4x4,63,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004597902297973633,0,0.004597902297973633,solved,True,none,[]
sudoku_4x4,64,5,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004701852798461914,0,0.004701852798461914,solved,True,none,[]
sudoku_4x4,65,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004704952239990234,0,0.004704952239990234,solved,True,none,[]
sudoku_4x4,66,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004592180252075195,0,0.004592180252075195,solved,True,none,[]
sudoku_4x4,67,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004906892776489258,0,0.004906892776489258,solved,True,none,[]
sudoku_4x4,68,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004784107208251953,0,0.004784107208251953,solved,True,none,[]
sudoku_4x4,69,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004592180252075195,0,0.004592180252075195,solved,True,none,[]
sudoku_4x4,70,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.0046541690826416016,0,0.0046541690826416016,solved,True,none,[]
sudoku_4x4,71,4,solved,1.0,0,False,False,0,,,,,,,False,False,0,,,,,,,0.004724979400634766,0,0.004724979400634766,solved,True,none,[]
