puzzle_type,puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_digit,true_digit_rank,true_digit_prob,confusion_type,full_ranking
hexasudoku_16x16,0,uncorrectable,"(4, 2)",10,0.749082624912262,16,2,0.2509039640426636,G->A,"[(10, 0.749082624912262), (16, 0.2509039640426636), (15, 1.2059973414579872e-05), (14, 1.0440236337672104e-06), (11, 2.5548183657519985e-07)]"
hexasudoku_16x16,0,uncorrectable,"(13, 15)",1,0.795832097530365,6,3,0.033725716173648834,6->1,"[(1, 0.795832097530365), (12, 0.17031989991664886), (6, 0.033725716173648834), (4, 0.00011424025433370844), (16, 5.6982526075444184e-06)]"
hexasudoku_16x16,0,uncorrectable,"(15, 11)",16,0.8946771025657654,3,2,0.09693923592567444,3->G,"[(16, 0.8946771025657654), (3, 0.09693923592567444), (9, 0.006357274483889341), (11, 0.0015479943249374628), (5, 0.00038830042467452586)]"
hexasudoku_16x16,1,uncorrectable,"(2, 3)",10,0.9631118774414062,13,2,0.03686593100428581,D->A,"[(10, 0.9631118774414062), (13, 0.03686593100428581), (11, 2.1887588445679285e-05), (16, 1.751401015326337e-07), (2, 5.799671853878863e-08)]"
hexasudoku_16x16,1,uncorrectable,"(3, 11)",12,0.9976457953453064,14,2,0.0023540230467915535,E->C,"[(12, 0.9976457953453064), (14, 0.0023540230467915535), (13, 8.927997185992353e-08), (15, 5.661228286157893e-08), (11, 8.451031874301407e-09)]"
hexasudoku_16x16,1,uncorrectable,"(11, 1)",14,0.9999178647994995,15,6,4.726619984296576e-09,F->E,"[(14, 0.9999178647994995), (12, 8.135462849168107e-05), (11, 4.4535227061714977e-07), (16, 3.1496500696448493e-07), (6, 2.2725735959738813e-08)]"
hexasudoku_16x16,1,uncorrectable,"(12, 7)",15,0.9376247525215149,16,2,0.06196014583110809,G->F,"[(15, 0.9376247525215149), (16, 0.06196014583110809), (5, 0.00023348996182903647), (12, 0.00013758537534158677), (14, 4.3959076720057055e-05)]"
hexasudoku_16x16,2,uncorrectable,"(1, 8)",10,0.8941444754600525,14,2,0.08316117525100708,E->A,"[(10, 0.8941444754600525), (14, 0.08316117525100708), (13, 0.014516877941787243), (1, 0.0055830650962889194), (15, 0.0012610816629603505)]"
hexasudoku_16x16,2,uncorrectable,"(4, 10)",12,0.9116764664649963,16,2,0.0881575420498848,G->C,"[(12, 0.9116764664649963), (16, 0.0881575420498848), (6, 0.00016596204659435898), (14, 5.989530538208498e-10), (5, 3.535235437723827e-10)]"
hexasudoku_16x16,2,uncorrectable,"(9, 12)",5,0.9715396761894226,6,2,0.028388502076268196,6->5,"[(5, 0.9715396761894226), (6, 0.028388502076268196), (15, 3.45244916388765e-05), (14, 2.538268017815426e-05), (8, 7.279649707925273e-06)]"
hexasudoku_16x16,3,uncorrectable,"(4, 6)",8,0.7772756814956665,13,2,0.09935573488473892,D->8,"[(8, 0.7772756814956665), (13, 0.09935573488473892), (16, 0.08969633281230927), (11, 0.03245483338832855), (6, 0.0010009908583015203)]"
hexasudoku_16x16,3,uncorrectable,"(13, 7)",13,0.999198853969574,11,3,0.0003131258999928832,B->D,"[(13, 0.999198853969574), (10, 0.0004880298802163452), (11, 0.0003131258999928832), (16, 2.811508892364145e-08), (2, 6.642447702986942e-10)]"
